map,x,y,z
Observatory,-678,1144,562
Observatory,-748,865,607
Observatory,-694,1166,572
Observatory,-718,642,483
Observatory,35,542,485
Observatory,-532,-368,335
Observatory,-581,-421,259
Observatory,-118,1360,451
Observatory,-1242,1776,1136
Observatory,-733,755,463
Observatory,-168,2093,1467
Observatory,546,2446,-48
Observatory,744,2608,234
Prison,3053,-297,366
Prison,-3951,2268,464
Prison,-4051,2000,352
Prison,3318,626,239
Prison,2385,-471,356
Prison,3167,703,461
Prison,3026,-69,320
Prison,195,492,800
Prison,-510,1379,562
Prison,653,-179,829
Prison,-3564,174,204
Prison,-418,1367,444
Prison,-1327,1156,176
Prison,634,2556,410
Prison,-603,1070,278
Prison,561,1223,192
Prison,2784,1623,413
Prison,-3887,955,139
Prison,2846,783,343
Prison,2915,842,260
Prison,560,3,785
Prison,-429,1082,473
Prison,100,434,355
Prison,-34,-1376,441
Prison,-4367,914,268
Prison,2356,3460,928
Prison,2335,3175,961
Prison,1147,2769,739
Prison,1292,2742,714
Prison,-1914,-1827,799
Prison,-4379,335,182
Prison,-3764,-613,235
Prison,-3523,-816,379
Prison,-4040,-515,419
Prison,1362,2196,466
Prison,-3643,-6,126
Prison,753,2724,642
Prison,-422,2790,774
Prison,-500,2412,386
Prison,-1891,1837,655
Prison,-669,2421,397
Prison,-1839,1992,820
Prison,-2055,1922,647
Prison,-3867,513,268
Prison,-4516,429,195
Prison,-920,1262,567
Prison,-877,-1580,983
Prison,1757,-472,973
Prison,1041,1289,398
Prison,-1569,-1192,214
Prison,2244,1431,220
Prison,-408,1564,649
Prison,-2745,810,442
Prison,572,1064,126
Prison,626,634,215
Prison,689,1096,306
Prison,-996,-1430,307
Prison,3177,1269,131
Prison,-3805,1676,295
Prison,1181,1730,144
Prison,-1152,123,449
Prison,-1722,325,339
Prison,-2638,-452,543
Prison,-2676,790,448
Prison,-1358,-1556,583
Prison,-561,1101,244
Prison,2297,971,163
Prison,978,897,274
Prison,-522,425,-133
Prison,-534,239,678
Prison,-1443,2322,459
Prison,-1827,-461,283
Prison,-1908,1295,329
Prison,-1846,3253,198
Prison,-3023,330,211
Prison,-105,3208,729
Prison,-3946,1446,129
Prison,-5667,425,116
Prison,-678,3195,798
Prison,-1761,-556,128
Prison,1948,81,352
Prison,-2107,-418,669
Prison,1286,-886,-116
Prison,1652,1378,257
Prison,-4259,116,188
Prison,-109,925,696
Prison,396,-485,319
Prison,-5319,1184,423
Prison,1289,522,297
Prison,422,245,663
Prison,-3892,-1524,137
Prison,-1812,-194,560
Prison,-1289,-96,417
Prison,-1870,-397,725
Prison,-2271,-490,652
Prison,-1019,200,689
Prison,-410,-16,611
Prison,-2014,3167,469
Prison,-2205,2817,841
Prison,-4141,-597,174
Prison,-834,1429,469
Prison,-2108,1078,249
Prison,1535,3253,928
Prison,-4657,1327,420
Prison,-2983,2577,303
Prison,-3884,1588,274
Prison,-23,157,287
Prison,-903,1172,390
Prison,-930,318,145
Prison,-640,-73,640
Prison,-1777,1194,413
Prison,-4153,7,129
Prison,-2713,-881,447
